gilbertyap@gilbertyap-desktop:~/Documents/Git/EC601-A2Team6-MultiSpeakerIdentification/Sprint2/audioOnlyTesting$ python3 ../../ThirdPartyTools/dscore/score.py -R reference.scp -S score.scp
Loading speaker turns from reference RTTMs...
Loading speaker turns from system RTTMs...
WARNING: No universal evaluation map specified. Approximating from reference and speaker turn extents...
Trimming reference speaker turns to UEM scoring regions...
Trimming system speaker turns to UEM scoring regions...
Checking for overlapping reference speaker turns...
Checking for overlapping system speaker turns...
Scoring...
WARNING: File "hycgx_gwn_001" missing in system RTTMs.
File                                DER     JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
-------------------------------  ------  ------  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
dvngl                             21.07   64.18            0.71         0.79     0.74             0.69             0.59          0.94          0.62  1.35   0.64
dvngl_gwn_001                     99.89   99.95            0.28         1.00     0.43             0.03             0.00          2.37          0.01  0.01   0.03
dvngl_gwn_002                     78.48   96.11            0.28         0.55     0.37             0.10             0.01          2.30          0.92  0.08   0.05
dvngl_gwn_004                     39.48   84.98            0.45         0.76     0.56             0.56             0.24          1.81          0.66  0.57   0.33
dvngl_gwn_008                     36.22   84.06            0.47         0.86     0.61             0.73             0.27          1.68          0.40  0.70   0.43
dvngl_gwn_016                     29.83   73.51            0.58         0.84     0.69             0.74             0.42          1.30          0.48  1.08   0.56
dvngl_gwn_032                     30.55   74.39            0.57         0.79     0.66             0.68             0.40          1.35          0.61  1.03   0.52
dvngl_music-hd-0000_001           28.82   69.77            0.58         0.74     0.65             0.60             0.42          1.33          0.71  1.05   0.51
dvngl_music-hd-0000_002           24.97   67.07            0.62         0.78     0.69             0.67             0.48          1.16          0.66  1.22   0.58
dvngl_music-hd-0000_004           29.26   74.50            0.58         0.84     0.68             0.74             0.42          1.32          0.51  1.06   0.55
dvngl_music-hd-0000_008           21.49   62.30            0.67         0.81     0.74             0.73             0.55          1.04          0.58  1.34   0.63
dvngl_music-hd-0000_016           22.79   64.24            0.67         0.79     0.72             0.69             0.54          1.04          0.64  1.33   0.62
dvngl_music-hd-0000_032           23.61   64.82            0.66         0.78     0.72             0.68             0.53          1.06          0.65  1.32   0.61
dvngl_music-jamendo-0000_001      41.85   82.21            0.46         0.66     0.54             0.48             0.26          1.69          0.90  0.68   0.35
dvngl_music-jamendo-0000_002      24.66   66.70            0.61         0.78     0.68             0.66             0.46          1.23          0.64  1.15   0.56
dvngl_music-jamendo-0000_004      28.34   73.11            0.58         0.87     0.70             0.78             0.42          1.27          0.40  1.11   0.58
dvngl_music-jamendo-0000_008      29.57   74.08            0.58         0.83     0.68             0.73             0.42          1.30          0.52  1.08   0.55
dvngl_music-jamendo-0000_016      23.29   64.63            0.66         0.78     0.72             0.68             0.53          1.08          0.68  1.30   0.60
dvngl_music-jamendo-0000_032      23.34   64.70            0.66         0.78     0.72             0.69             0.54          1.06          0.64  1.32   0.61
dvngl_noise-free-sound-0042_001   30.93   74.47            0.58         0.82     0.68             0.72             0.42          1.33          0.54  1.05   0.54
dvngl_noise-free-sound-0042_002   29.92   73.94            0.59         0.82     0.69             0.72             0.43          1.28          0.54  1.10   0.56
dvngl_noise-free-sound-0042_004   22.78   63.71            0.67         0.79     0.73             0.70             0.55          1.02          0.63  1.36   0.62
dvngl_noise-free-sound-0042_008   23.10   64.16            0.67         0.78     0.72             0.69             0.54          1.04          0.64  1.34   0.62
dvngl_noise-free-sound-0042_016   30.29   74.13            0.59         0.81     0.68             0.71             0.43          1.27          0.55  1.10   0.56
dvngl_noise-free-sound-0042_032   23.55   64.78            0.67         0.78     0.72             0.69             0.54          1.05          0.65  1.33   0.61
hycgx                             11.22   13.60            0.87         0.83     0.85             0.65             0.71          0.39          0.46  0.74   0.63
hycgx_gwn_001                    100.00  100.00            0.57         1.00     0.72             1.00             0.00          1.11          0.00  0.00   0.00
hycgx_gwn_002                     99.96   99.97            0.57         1.00     0.72             0.00             0.00          1.11          0.01  0.00   0.00
hycgx_gwn_004                     84.27   89.84            0.57         0.70     0.63             0.02             0.01          1.10          0.68  0.01   0.02
hycgx_gwn_008                     27.86   61.53            0.60         0.89     0.72             0.31             0.09          0.99          0.30  0.13   0.19
hycgx_gwn_016                     26.54   62.14            0.60         0.97     0.74             0.56             0.08          0.99          0.09  0.13   0.26
hycgx_gwn_032                     27.71   62.71            0.59         0.95     0.73             0.41             0.06          1.02          0.16  0.10   0.19
hycgx_music-hd-0000_001           13.08   21.82            0.80         0.83     0.81             0.56             0.55          0.62          0.50  0.50   0.47
hycgx_music-hd-0000_002            7.83   12.86            0.86         0.91     0.88             0.77             0.67          0.50          0.26  0.63   0.63
hycgx_music-hd-0000_004            7.07   10.33            0.87         0.93     0.90             0.81             0.71          0.44          0.24  0.69   0.67
hycgx_music-hd-0000_008            8.33   13.05            0.86         0.89     0.87             0.73             0.68          0.46          0.37  0.66   0.62
hycgx_music-hd-0000_016            8.96   12.08            0.88         0.87     0.87             0.72             0.71          0.40          0.39  0.72   0.65
hycgx_music-hd-0000_032           10.06   13.05            0.87         0.85     0.86             0.68             0.71          0.39          0.43  0.74   0.64
hycgx_music-jamendo-0000_001      33.51   64.26            0.57         0.85     0.68             0.01             0.01          1.11          0.41  0.01   0.01
hycgx_music-jamendo-0000_002      19.28   37.44            0.68         0.81     0.74             0.33             0.28          0.90          0.48  0.25   0.27
hycgx_music-jamendo-0000_004      10.37   19.04            0.82         0.90     0.86             0.71             0.58          0.59          0.24  0.54   0.57
hycgx_music-jamendo-0000_008      11.34   18.46            0.81         0.87     0.84             0.68             0.57          0.60          0.40  0.53   0.51
hycgx_music-jamendo-0000_016      11.82   17.50            0.82         0.84     0.83             0.63             0.59          0.56          0.50  0.57   0.52
hycgx_music-jamendo-0000_032      11.50   15.09            0.85         0.84     0.84             0.65             0.66          0.48          0.48  0.65   0.57
hycgx_noise-free-sound-0042_001   27.41   62.57            0.59         0.95     0.73             0.48             0.07          1.00          0.16  0.13   0.22
hycgx_noise-free-sound-0042_002   12.84   20.41            0.81         0.80     0.81             0.60             0.57          0.53          0.58  0.60   0.52
hycgx_noise-free-sound-0042_004   12.96   18.86            0.82         0.80     0.81             0.59             0.60          0.51          0.59  0.61   0.53
hycgx_noise-free-sound-0042_008   12.21   16.51            0.85         0.81     0.83             0.62             0.65          0.47          0.55  0.66   0.57
hycgx_noise-free-sound-0042_016   12.58   16.56            0.85         0.81     0.83             0.61             0.65          0.46          0.55  0.67   0.57
hycgx_noise-free-sound-0042_032   11.20   13.71            0.87         0.83     0.85             0.65             0.71          0.39          0.46  0.74   0.63
*** OVERALL ***                   29.89   65.40            0.64         0.82     0.72             0.82             0.64          1.10          0.51  6.41   0.89

