Segmentation (tolerance = 500 ms)      coverage    purity    precision    recall
-----------------------------------  ----------  --------  -----------  --------
syiwe                                    100.00     90.84       100.00      0.00
szsyz                                    100.00     87.95       100.00      0.00
tcwsn                                    100.00     53.01       100.00      0.00
tfvyr                                    100.00    100.00       100.00      0.00
tguxv                                     99.96     93.11       100.00      7.14
tiams                                    100.00     97.43       100.00      9.09
tjkfn                                     99.70     96.23        44.44      9.52
tlprc                                     97.51     80.46        33.33      5.56
tplwz                                     99.18     59.03        50.00      8.11
tucrg                                    100.00    100.00       100.00      0.00
txcok                                     98.19     45.50        50.00      2.70
uatlu                                     99.93     83.69       100.00      3.70
udjij                                     97.21     71.01        33.33      4.63
uexjc                                     91.66     78.12        33.33      8.00
ufpel                                    100.00     93.88       100.00      0.00
ulriv                                     97.39     64.81        46.15     19.05
usbgm                                    100.00    100.00       100.00      0.00
uvnmy                                     99.46     96.06         0.00      0.00
vbjlx                                     95.02     48.88        10.00      3.95
vmaiq                                     99.26     65.82        54.55      6.06
vmbga                                     95.02     72.11        42.11      6.90
vysqj                                     89.95    100.00         0.00    100.00
wbqza                                     99.79     88.37         0.00      0.00
wdjyj                                     98.34     80.35         0.00      0.00
wewoz                                    100.00     86.44       100.00      0.00
whmpa                                     85.50     90.01         0.00      0.00
willh                                    100.00    100.00       100.00      0.00
wjhgf                                    100.00     55.01       100.00      0.00
wmori                                    100.00    100.00       100.00      0.00
wnfoi                                     97.76     58.48        11.11      2.56
wspbh                                     99.90     88.26        50.00      2.27
xiglo                                    100.00     87.46       100.00      0.00
xmfzh                                    100.00     89.15       100.00      0.00
xvllq                                    100.00     96.24         0.00      0.00
xxwgv                                     88.75     68.06        14.29      1.67
xypdm                                    100.00    100.00       100.00      0.00
ycxxe                                    100.00     73.75       100.00      0.00
ydlfw                                     99.11     47.12        66.67      5.00
yfcmz                                     99.95     66.30       100.00      3.45
ylnza                                    100.00     84.84       100.00      0.00
ypwjd                                    100.00     95.46       100.00      0.00
yrsve                                     99.82     32.78        60.00      4.17
ysgbf                                     92.82    100.00       100.00      7.14
yuzyu                                     94.56     66.32        12.50      2.86
ywcwr                                    100.00     94.32       100.00      0.00
zajzs                                     64.48     92.61        26.32     45.45
zcdsd                                     99.99     48.08       100.00      3.70
zfkap                                    100.00     94.90       100.00      0.00
zidwg                                    100.00     86.69       100.00      0.00
zmndm                                     72.21    100.00         0.00      0.00
zrlyl                                     99.96     87.04        50.00      1.10
ztzzr                                    100.00    100.00       100.00      0.00
zvmyn                                    100.00    100.00       100.00      0.00
zyffh                                     95.57     98.30         0.00      0.00
TOTAL                                     97.23     76.02        31.78      3.92
