Segmentation (tolerance = 500 ms)      coverage    purity    precision    recall
-----------------------------------  ----------  --------  -----------  --------
syiwe                                     92.20     90.84         0.00      0.00
szsyz                                     55.94     91.88        28.57     33.33
tcwsn                                     76.80     92.17        20.83     37.04
tfvyr                                    100.00    100.00       100.00      0.00
tguxv                                     66.89     99.88        33.33     64.29
tiams                                     46.30     99.47        11.76     36.36
tjkfn                                     52.74     98.34        13.83     30.95
tlprc                                     84.99     85.98        21.05     22.22
tplwz                                     75.72     92.85        30.00     64.86
tucrg                                    100.00    100.00        66.67     50.00
txcok                                     67.21     93.29        21.25     45.95
uatlu                                     82.13     92.53        29.41     37.04
udjij                                     69.68     92.96        31.17     44.44
uexjc                                     59.26     93.12        27.10     58.00
ufpel                                     73.95     98.31        28.41     36.76
ulriv                                     69.17     85.29        30.00     42.86
usbgm                                     32.11    100.00        11.11     50.00
uvnmy                                     98.01     98.96        33.33     18.18
vbjlx                                     71.17     82.72        30.46     60.53
vmaiq                                     86.11     83.69        35.23     31.31
vmbga                                     56.90     93.90        23.17     51.72
vysqj                                     14.96    100.00         0.00    100.00
wbqza                                     82.89     96.62        19.05     16.00
wdjyj                                     84.32     92.64        30.43     23.33
wewoz                                     91.68     98.85        40.00     33.33
whmpa                                    100.00     90.01       100.00      0.00
willh                                     56.50    100.00        10.00     20.00
wjhgf                                     64.75     85.24        21.21     58.33
wmori                                     71.95    100.00        14.29     30.00
wnfoi                                     76.85     91.10        23.16     56.41
wspbh                                     65.14     92.79         9.76      9.09
xiglo                                     71.99     99.14        25.00     16.67
xmfzh                                     85.23     98.16        26.67     18.18
xvllq                                     66.82     99.25        14.63     30.00
xxwgv                                     54.74     92.50        15.44     35.00
xypdm                                     92.86    100.00         9.09      1.16
ycxxe                                     86.55     94.78        31.82     46.67
ydlfw                                     74.24     86.85        31.51     57.50
yfcmz                                     62.70     98.74        21.13     51.72
ylnza                                     81.23     94.31        20.59     33.33
ypwjd                                     65.42     99.61        14.29     23.53
yrsve                                     58.96     92.15        18.53     66.67
ysgbf                                     91.62    100.00        18.18     14.29
yuzyu                                     34.48     96.70        10.85     65.71
ywcwr                                     89.45     99.75        18.18     28.57
zajzs                                     53.89     95.57        10.00     45.45
zcdsd                                     55.23     96.13        13.79     59.26
zfkap                                     96.30     94.90         0.00      0.00
zidwg                                     99.42     96.65        50.00     11.11
zmndm                                      9.48    100.00         1.54     37.50
zrlyl                                     76.75     96.19        26.55     32.97
ztzzr                                     97.74    100.00         0.00      0.00
zvmyn                                     80.32    100.00        20.00      5.00
zyffh                                     71.37     99.18        20.00     35.00
TOTAL                                     68.23     94.42        20.71     37.56
